episode,potions_used,moving_avg_potions_used,min_potions_used_so_far,unique_combos_used
705,6644,6662.92,6174,146
706,6655,6664.68,6174,155
707,6712,6666.16,6174,149
708,6762,6670.38,6174,160
709,6682,6669.7,6174,144
710,6603,6670.94,6174,156
711,6697,6671.22,6174,132
712,6764,6673.18,6174,131
713,6578,6671.04,6174,153
714,6673,6669.04,6174,160
715,6668,6669.2,6174,160
716,6606,6669.38,6174,145
717,6626,6667.1,6174,156
718,6589,6666.66,6174,148
719,6712,6668.7,6174,159
720,6554,6666.62,6174,154
721,6656,6667.26,6174,150
722,6664,6667.16,6174,137
723,6556,6666,6174,149
724,6733,6666.74,6174,148
725,6676,6667.58,6174,145
726,6594,6665.16,6174,147
727,6829,6667.32,6174,142
728,6595,6665.74,6174,159
729,6701,6666.66,6174,163
730,6573,6664.1,6174,150
731,6587,6663.76,6174,148
732,6660,6662.34,6174,159
733,6551,6662.16,6174,135
734,6664,6662.42,6174,144
735,6853,6663.32,6174,165
736,6589,6661.02,6174,152
737,6686,6659.24,6174,149
738,6639,6658.34,6174,147
739,6610,6656.58,6174,157
740,6667,6654.52,6174,167
741,6696,6656.92,6174,146
742,6600,6656.16,6174,155
743,6637,6655.54,6174,148
744,6680,6655.12,6174,142
745,6643,6654.62,6174,140
746,6608,6654.12,6174,145
747,6651,6653.8,6174,148
748,6863,6661.58,6174,148
749,6619,6661.66,6174,143
750,6705,6663.02,6174,147
751,6658,6662.4,6174,151
752,6554,6659.88,6174,151
753,6627,6657.64,6174,145
754,6557,6654.12,6174,157
755,6704,6655.32,6174,148
756,6775,6657.72,6174,151
757,6662,6656.72,6174,140
758,6782,6657.12,6174,150
759,6556,6654.6,6174,149
760,6613,6654.8,6174,141
761,6639,6653.64,6174,144
762,6817,6654.7,6174,152
763,6567,6654.48,6174,152
764,6603,6653.08,6174,140
765,6597,6651.66,6174,152
766,6598,6651.5,6174,151
767,6605,6651.08,6174,144
768,6648,6652.26,6174,151
769,6610,6650.22,6174,158
770,6493,6649,6174,144
771,6618,6648.24,6174,148
772,6640,6647.76,6174,161
773,6629,6649.22,6174,161
774,6669,6647.94,6174,146
775,6632,6647.06,6174,137
776,6858,6652.34,6174,149
777,6619,6648.14,6174,129
778,6530,6646.84,6174,151
779,6610,6645.02,6174,145
780,6675,6647.06,6174,136
781,6719,6649.7,6174,158
782,6672,6649.94,6174,140
783,6715,6653.22,6174,148
784,6712,6654.18,6174,152
785,6700,6651.12,6174,156
786,6754,6654.42,6174,139
787,6705,6654.8,6174,145
788,6719,6656.4,6174,162
789,6762,6659.44,6174,154
790,6628,6658.66,6174,148
791,6683,6658.4,6174,143
792,6724,6660.88,6174,156
793,6631,6660.76,6174,142
794,6451,6656.18,6174,144
795,6659,6656.5,6174,137
